sentence_id	sentence	locale	reason
d3bd772cbc700350efd81ede683c4ef0c4c139e6850d106027d743244def519f	اشکال اینست که خود آنها هم فاسدند.	fa	grammar-or-spelling
d2ae6087a7efea3ccc632a16ceb20426cbc0d18e1c3c7b8f516b985d31a35e13	او لیسانسیه‌ی علوم سیاسی است.	fa	grammar-or-spelling
015bae8d21b2e3fd7db7966bacfa68ddb1f3826d676bf3192164480e4acefc0a	در کند و زنجیر	fa	grammar-or-spelling
01427cd6f98d79729a38ff26d4856f9e1b9ea301788bfa36e4730943e1516653	همچو چیزی پبش از این ندیده بودم	fa	grammar-or-spelling
c8e356e9752f39b1eb4377918727842ef857133ab52a5f6e9ad8065c0a2dd41f	مأمورین بازرسی خامهٔ او را تفتیش کردند.	fa	grammar-or-spelling
c722845f7442e5a679b40ff8d90514c5a1c6254b6a8bf5df9bae91e935a4bc73	مونتگمری بر مارشال رومل پیشدستی کرد.	fa	different-language
020e3d300ec8e27a772565551a48e2ad0bef0030c6added7aeb165097d8b36bc	چند باسک زنم از خواب و خمار.	fa	grammar-or-spelling
012693f811de344ce222547334a5dc0b1bd3606a26f0d6eb311d77b451935a97	کأس	fa	different-language
012693f811de344ce222547334a5dc0b1bd3606a26f0d6eb311d77b451935a97	کأس	fa	difficult-pronunciation
d3de97d7ad7980db804a23d41cc778e0187b994ab8246d77e5fe22d488c63cb3	بزهکاران از حق رای دادن در انتخابات محروم‌اند.	fa	grammar-or-spelling
d2ae6087a7efea3ccc632a16ceb20426cbc0d18e1c3c7b8f516b985d31a35e13	او لیسانسیه‌ی علوم سیاسی است.	fa	grammar-or-spelling
018f46f8bba150577e8e889e999649cc86353b319170d446c6572538500263cc	گوشی تلفون را بجای خود گذاردن	fa	grammar-or-spelling
0176ef0d222bf5372ca1a6110d2f3e0901f5a3f5e67f674ecf402367b40a78d9	دوربین دوچشمه	fa	grammar-or-spelling
d53e7a71f6be63002c1a4ecea894f93b7559939352df8fa17f394061e2924e37	رویهمرفته نقشه موفقیت‌آمیز بود.	fa	grammar-or-spelling
c8e356e9752f39b1eb4377918727842ef857133ab52a5f6e9ad8065c0a2dd41f	مأمورین بازرسی خامهٔ او را تفتیش کردند.	fa	grammar-or-spelling
d551ccee1ca3dd1ac4b0961927432ea9d9354b9653b0cfa3f9c99dc891584953	او بایستی مرتبا نزد دندان‌پزشک خود برود.	fa	grammar-or-spelling
019907087fd6c01584b18e882bfca967d9ed03e00c3d33214f277cc56375dc3f	خوك	fa	different-language
0191ded1d743f7d98f0c1f83677923a3641468d3c1d2fb7def90b46bee92656c	دراینمحل حیوانات وحشی رانمایش میدهند	fa	grammar-or-spelling
d18b8bb1cbfb7c4545288a440a883417a313be53f220ad211d853d8008eddbe0	سینی پذیرایی ۳ سایز	fa	different-language
d9774b7ae0daa51f8bdb0775f0b359de943e7422c5f3585ebfe7d527c65d56c8	انواع وسایط نقلیه را به کار می‌گیرند.	fa	grammar-or-spelling
d960dcbc7a77fd239357c2351040bfd1b4311c279f6c85912182377eabf38c37	آزادیخواه به تمام معنی	fa	grammar-or-spelling
adb7923bbfbec0facddb564e1fd3e5b59fbd00c489a45c7d5ed83bdee644bb37	????? ???? ??? ????	fa	grammar-or-spelling
a51d43c0e3444cc0d1bcdfc3a9a4dac2b63968fc448d6bb0c267d4c9f9d9606c	???? ??? ??? ??? ?????? ???	fa	grammar-or-spelling
b94db6370e038c3f3fe5af45c23d3a5bf04bac509ae6d1bb18c1abc3553755dc	??? ??? ???????? ????? ???	fa	different-language
ccadf37ff1bdaab31c65dfcea17acc8bfa917723ee20b350603ec4a42a42d2f9	???????? ??? ??? ????.	fa	different-language
01e0d15bd07c9d6bf0e89a937c937d3e9f39713d9dd4489279a3a9f51784f495	هر روزه بدیده من می آمد	fa	grammar-or-spelling
4c29cb582f9e9ba98f487552b1320b77d054f42b68c112446eb2de37b9860b95	???? ?????? ? ????? ???? ????.	fa	different-language
b2bbda7ce84742d29c9849420bdcbb9af638e7b58157790ba0151e8a25cf7cb9	??? ?? ???? ??	fa	different-language
b94db6370e038c3f3fe5af45c23d3a5bf04bac509ae6d1bb18c1abc3553755dc	??? ??? ???????? ????? ???	fa	grammar-or-spelling
fdccf280c54af6b638a38f9183cf0d9d47030fe18e024bb136ea7014127bd529	??? ???? ??? ???.	fa	grammar-or-spelling
01b4f885cde069074d251e7d3075384d3c1deed8e07f6d01bcc21d8d0d9c596d	شستمین	fa	grammar-or-spelling
4c29cb582f9e9ba98f487552b1320b77d054f42b68c112446eb2de37b9860b95	???? ?????? ? ????? ???? ????.	fa	grammar-or-spelling
dac4908a8b562deedec50299197d7113ff32dac5f023586e63fcabc6efe7a086	بتونه خالص شه	fa	grammar-or-spelling
b94db6370e038c3f3fe5af45c23d3a5bf04bac509ae6d1bb18c1abc3553755dc	??? ??? ???????? ????? ???	fa	different-language
01566bb01b77d72844b7fae13237f345960a81b9bb516cf9d3f2b5ac4e1af40b	دو نقریا بیشتر	fa	grammar-or-spelling
0124da7883ffbef934e93d907c53caaa187086792dc947b96006301f8619a094	مرکورکرم	fa	grammar-or-spelling
d25d90aff64054c320e3825696a7e518be866db7b65ce6a868c0a32f02fbfaa3	تکمه‌های سیب‌زمینی تبدیل به جوانه می‌شود.	fa	grammar-or-spelling
01ad7d21e2f94a7f2fc92db7d11cf544dcc4cc30b3aaec4e266ace8b00c4941f	سند قرضه گروی	fa	grammar-or-spelling
02b0daa12a725701bd5a08ea17b3f5a7d0e29d0f88cf814859be6c09aa06db27	کوچه را عوضی کردن	fa	grammar-or-spelling
00db2e06870225476724ab9be0182db977503686992d76be510e033dfa4ebe0e	ودص	fa	grammar-or-spelling
dd46da031518eba66db5d8872b1d8c958c7c6720745125fb30c9bdd6e043ec70	ابزار سنگین ساخت‌تر	fa	grammar-or-spelling
0170e95e46b2fd1da268c30769ca32e318ee2642141535f1b0cc5bf4252c0835	سرکارٍ آقای رضا خان	fa	grammar-or-spelling
d9774b7ae0daa51f8bdb0775f0b359de943e7422c5f3585ebfe7d527c65d56c8	انواع وسایط نقلیه را به کار می‌گیرند.	fa	grammar-or-spelling
c871b76171f21a757bb2d70038b6d6e952891ddc9eba5724957588117397d7b9	بر سر میخواره برگ گل بفتالید	fa	grammar-or-spelling
0191ded1d743f7d98f0c1f83677923a3641468d3c1d2fb7def90b46bee92656c	دراینمحل حیوانات وحشی رانمایش میدهند	fa	grammar-or-spelling
d9bf38989387e413e840b04d00360cdb1a4c1f198db73b3386bd95e6ed995554	استاد خرف	fa	grammar-or-spelling
d798bde2afba911f2ce436570bd7d41a88d63be041fa3f4478beb238328442df	این درخت‌ها جلو منظره‌ی دریا را می‌گیرند.	fa	grammar-or-spelling
d78c13f532c8defefe864d6d5b2542cdaee02bc78f4c5a56d57ed0f39671556f	پالتو بادشکن	fa	grammar-or-spelling
d89983b66b77e03dbdf1a6022357cff274b976a1e0fad4411f27afbcc1d95d3b	بلموپان	fa	difficult-pronounce
e195fbb13b3705ec928a846cbc23f20fd749a1164e19916cfb1620d9be1d895a	مجرا فاضل آب	fa	grammar-or-spelling
023bf1601d48778ec3692d714a5e50a3ae6e1b293a5ec26cc009ab629e433797	هیچنوتیزه کردن	fa	grammar-or-spelling
023fee00990e26237cbf063df2028299c3423b53e8296f50e7dc60133ac65b80	شلکک	fa	grammar-or-spelling
e62d47768238170c18d93f47457e689ddce2e954830a37448bb479b6b515b909	نَمارد	fa	grammar-or-spelling
a51d43c0e3444cc0d1bcdfc3a9a4dac2b63968fc448d6bb0c267d4c9f9d9606c	???? ??? ??? ??? ?????? ???	fa	grammar-or-spelling
e80cbfe1ec54c3542c12a46dae4db39258abdbe35943942d7562d5c852f31c9c	کمیتهٔ محلی طرفین دعواء را آشتی داد.	fa	grammar-or-spelling
e544be960ea0da598e98ee6eb783566c72b9e8986248630af29e8557d482c52b	تحت توجهات...، به کمک...	fa	grammar-or-spelling
ed4ce169f1f3fcb98ef62765403bd303440259ff503c768f0bdcb4231a5bf4f8	مخافت مخافة	fa	difficult-pronounce
02a8b2aa00c7ecd215db05001412ba38e07c090f605664291d6316baee625f36	اززند گی سیرشدم	fa	grammar-or-spelling
02ac5467fa5c4cc47cdfec4d3f8b5ae39442c82cb44a0e932730e815443382b7	"۲۴۰۰"	fa	grammar-or-spelling
f1a2c93d2bfc366677208fb77cd2d38fd112aa4fc7a1b01d4cf1826cfb46ce7b	به واسطه‌ی تراکم وسایط نقلیه یک ساعت دیر رسیدیم.	fa	grammar-or-spelling
f29da39754267159c2070076fa3482b23abcf1e440bf7fe9829b45878312da6a	روس‌ها برلن را گرفتند.	fa	grammar-or-spelling
