client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
d8726584e438bf48cbf10ed9e4574472d8f511533c0c532b84e28a81bced38a07f2454984d1076d4d664282138fab98da7a9332ae5d7a3ed75143b7116d19dc5	common_voice_fa_41256255.mp3	02c970bffabbd9edffa7b1ea3d2d59482d939dfcfb888ca1b3a1458a4dbfffcd	مجلس قوانین کشور را تصویب میکند		0	0					fa	
d8726584e438bf48cbf10ed9e4574472d8f511533c0c532b84e28a81bced38a07f2454984d1076d4d664282138fab98da7a9332ae5d7a3ed75143b7116d19dc5	common_voice_fa_41256256.mp3	018ccd5f4cae824439ef00e18da923ec3a733e5f0fcf9a83fd78bdedb334d6cf	ناکجاآبادی		0	0					fa	
d8726584e438bf48cbf10ed9e4574472d8f511533c0c532b84e28a81bced38a07f2454984d1076d4d664282138fab98da7a9332ae5d7a3ed75143b7116d19dc5	common_voice_fa_41256257.mp3	cfb1d944218eedf2419b0b9c3b9c410279777d575077529ab04b2fc4c164ad30	او یک پیراهن بلند پوشیده بود.		0	0					fa	
d8726584e438bf48cbf10ed9e4574472d8f511533c0c532b84e28a81bced38a07f2454984d1076d4d664282138fab98da7a9332ae5d7a3ed75143b7116d19dc5	common_voice_fa_41256258.mp3	017eb13d8a7ed0a7e5389b817f795c8c1bd56066c07f148e1c6efd4309398d52	شورت ورزشی		0	0					fa	
d8726584e438bf48cbf10ed9e4574472d8f511533c0c532b84e28a81bced38a07f2454984d1076d4d664282138fab98da7a9332ae5d7a3ed75143b7116d19dc5	common_voice_fa_41256259.mp3	0131234b371fbd88be87e98a8c79c55155e01847dda2f67fd44e75c74590477e	تخت بودن		0	0					fa	
350ee33e4edee9a0d5b92dd9e926b93b9898424e117f4e0421081e6a556af1e9fec1d847b3d54c3ca625f72c6f0dc9d1797c0a7b8fbee59556f7dfd02e5a9fb7	common_voice_fa_41283271.mp3	d13322aa9f79ad06cc5e3380a3bfc8398c7ad67704f1c412d43d2ee519d191e7	او شمشیر خود را تیز کرد.		0	0					fa	
350ee33e4edee9a0d5b92dd9e926b93b9898424e117f4e0421081e6a556af1e9fec1d847b3d54c3ca625f72c6f0dc9d1797c0a7b8fbee59556f7dfd02e5a9fb7	common_voice_fa_41283272.mp3	017a5c5f02294cd9e08c708d7e48d91d3ab26d7101c6bb1d00447a18f10093bb	زبان سوئدی		0	0					fa	
350ee33e4edee9a0d5b92dd9e926b93b9898424e117f4e0421081e6a556af1e9fec1d847b3d54c3ca625f72c6f0dc9d1797c0a7b8fbee59556f7dfd02e5a9fb7	common_voice_fa_41283273.mp3	01aacb1bf03403613f7d26576a3762f09957d5b314d4f417d1a534413e48a8d4	صلح و آرامش		0	0					fa	
350ee33e4edee9a0d5b92dd9e926b93b9898424e117f4e0421081e6a556af1e9fec1d847b3d54c3ca625f72c6f0dc9d1797c0a7b8fbee59556f7dfd02e5a9fb7	common_voice_fa_41283274.mp3	018f9641d795b2fa0b2ffdadd990531254eddd34d74095c2b282d0ebce7eb23b	غوطه وری		0	0					fa	
350ee33e4edee9a0d5b92dd9e926b93b9898424e117f4e0421081e6a556af1e9fec1d847b3d54c3ca625f72c6f0dc9d1797c0a7b8fbee59556f7dfd02e5a9fb7	common_voice_fa_41283275.mp3	d193229000b2e124ef4ea1a959032e5031edf580a627cb43764baa74e3b11f23	رسوایی کشور کره		0	0					fa	
