client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40882087.mp3	015bae8d21b2e3fd7db7966bacfa68ddb1f3826d676bf3192164480e4acefc0a	در کند و زنجیر		3	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_40886878.mp3	012067efe3412c5936f8f5acac93c7c5c697e5149bfc8d79a7f42e3c625b894f	یکی از دو شق را میتوانید اختیار کنید.		2	0			فارسی معیار		fa	
a6e84b60065be5e12b28ae48d1df461a35de7ceb6f058f94ced0f28e02ed118b23623a4a623810b357a498dc71b0eb0bee45000c84a40b33f69496032fde1721	common_voice_fa_40886879.mp3	d0d46af0c97425dafb498a4be153fc7f3f1ba03f7a211ba80f14a64a8544f276	او در هر کاری که میکند حرارت به خرج میدهد.		2	0			فارسی معیار		fa	
020bbefc558ec6ada0084c56ab2219eeb7b46d4a51a9ade3d34cb7e954b177b36d1bba93c3eed18068109e31ab5a0595ae6f33571c1a39f1d98fb6806c0495be	common_voice_fa_40974530.mp3	c7a74b9bf221841c4da78f6d7bb2e096dc3cd93149de0c819e34b72db39ae3b6	با چکش گوه را به درون کنده راندن		4	0	fourties		ایرانی,persian,iranian		fa	
020bbefc558ec6ada0084c56ab2219eeb7b46d4a51a9ade3d34cb7e954b177b36d1bba93c3eed18068109e31ab5a0595ae6f33571c1a39f1d98fb6806c0495be	common_voice_fa_40974535.mp3	cf49925c4631d9b2200a41bde3d25728feb16c3535fdee5f185b2c47c9c20155	انگیزههایی که مستور باقی میمانند		4	0	fourties		ایرانی,persian,iranian		fa	
020bbefc558ec6ada0084c56ab2219eeb7b46d4a51a9ade3d34cb7e954b177b36d1bba93c3eed18068109e31ab5a0595ae6f33571c1a39f1d98fb6806c0495be	common_voice_fa_40974539.mp3	01472064bf80ecad8608f0d4809084baa2a84e954faf526215950118500078c4	کمخوار		4	0	fourties		ایرانی,persian,iranian		fa	
ae9b0b4ed9920b39680ffb396227c883233c4441c40023f171c8010222fe64081046dce6cac6c592406f8600ec12e5c38ac631f75dcf17ebdc3d0a3a9e306896	common_voice_fa_40885685.mp3	0144f4c43b1ea166459391387d2256070ec1e61c5644731627692d5c14b49be4	قضاوتی		3	0	thirties		تهرانی,حرف «ر» می‌زند		fa	
ae9b0b4ed9920b39680ffb396227c883233c4441c40023f171c8010222fe64081046dce6cac6c592406f8600ec12e5c38ac631f75dcf17ebdc3d0a3a9e306896	common_voice_fa_40885692.mp3	ce30bab2c06b8ce639c978ec819caff9a9730f1e00363dfe73d23f5aed7c2b58	به مخاطب خود احترام بگذار		3	0	thirties		تهرانی,حرف «ر» می‌زند		fa	
ae9b0b4ed9920b39680ffb396227c883233c4441c40023f171c8010222fe64081046dce6cac6c592406f8600ec12e5c38ac631f75dcf17ebdc3d0a3a9e306896	common_voice_fa_40885695.mp3	013e1974a50ef7e8e634f8074af344e6206195ab79872ff8f3afa04ac0073d79	یونجه زار		3	0	thirties		تهرانی,حرف «ر» می‌زند		fa	
ae9b0b4ed9920b39680ffb396227c883233c4441c40023f171c8010222fe64081046dce6cac6c592406f8600ec12e5c38ac631f75dcf17ebdc3d0a3a9e306896	common_voice_fa_40885711.mp3	01623ca2c86aa33092a3470de5d04c62fe342736c2434ddbbcb264eb8b0e7dc3	موروث		3	0	thirties		تهرانی,حرف «ر» می‌زند		fa	
ae9b0b4ed9920b39680ffb396227c883233c4441c40023f171c8010222fe64081046dce6cac6c592406f8600ec12e5c38ac631f75dcf17ebdc3d0a3a9e306896	common_voice_fa_40885731.mp3	c3508c843658603ec9edf807c34d4ef2f75134e4a40e520902da6d9bdd72b9db	پرداخت قرض		3	0	thirties		تهرانی,حرف «ر» می‌زند		fa	
