clip	duration[ms]
common_voice_fa_41066633.mp3	2160
common_voice_fa_41024230.mp3	2592
common_voice_fa_40921195.mp3	3348
common_voice_fa_41096814.mp3	6336
common_voice_fa_41041922.mp3	4248
common_voice_fa_41090860.mp3	3600
common_voice_fa_41091294.mp3	2916
common_voice_fa_41226204.mp3	1800
common_voice_fa_41024252.mp3	2628
common_voice_fa_41052590.mp3	5400
common_voice_fa_40961152.mp3	3204
common_voice_fa_40974525.mp3	3132
common_voice_fa_40895330.mp3	3708
common_voice_fa_41024278.mp3	2700
common_voice_fa_41088886.mp3	5112
common_voice_fa_41066580.mp3	4248
common_voice_fa_41226228.mp3	2376
common_voice_fa_41088873.mp3	2124
common_voice_fa_41226030.mp3	3348
common_voice_fa_40885679.mp3	2916
common_voice_fa_40882127.mp3	6192
common_voice_fa_41042757.mp3	5868
common_voice_fa_41088897.mp3	7488
common_voice_fa_41090864.mp3	6228
common_voice_fa_40997438.mp3	2484
common_voice_fa_40921203.mp3	2772
common_voice_fa_40882125.mp3	1800
common_voice_fa_41226024.mp3	4176
common_voice_fa_40962854.mp3	3924
common_voice_fa_41066621.mp3	3420
common_voice_fa_41052588.mp3	5400
common_voice_fa_41091236.mp3	3636
common_voice_fa_41052593.mp3	4716
common_voice_fa_40882107.mp3	2412
common_voice_fa_41052585.mp3	3096
common_voice_fa_40997432.mp3	3348
common_voice_fa_41096816.mp3	3168
common_voice_fa_41039952.mp3	2988
common_voice_fa_40882135.mp3	1692
common_voice_fa_41214994.mp3	2736
common_voice_fa_41226186.mp3	2880
common_voice_fa_40886891.mp3	3132
common_voice_fa_40895310.mp3	9000
common_voice_fa_41039951.mp3	3600
common_voice_fa_41197351.mp3	3816
common_voice_fa_41008006.mp3	3780
common_voice_fa_40883490.mp3	3096
common_voice_fa_41226038.mp3	4824
common_voice_fa_40921190.mp3	3096
common_voice_fa_41042753.mp3	2916
common_voice_fa_41037986.mp3	6192
common_voice_fa_41024277.mp3	3204
common_voice_fa_41226021.mp3	2160
common_voice_fa_40885712.mp3	5688
common_voice_fa_40974524.mp3	4896
common_voice_fa_41024280.mp3	2016
common_voice_fa_40885732.mp3	3816
common_voice_fa_41088896.mp3	2556
common_voice_fa_41066661.mp3	4500
common_voice_fa_41091293.mp3	6048
common_voice_fa_40921191.mp3	4788
common_voice_fa_40886880.mp3	1872
common_voice_fa_40883492.mp3	1764
common_voice_fa_40882108.mp3	2340
common_voice_fa_41024263.mp3	4608
common_voice_fa_41215017.mp3	2268
common_voice_fa_41066645.mp3	3564
common_voice_fa_40885668.mp3	3780
common_voice_fa_41197014.mp3	5868
common_voice_fa_40885670.mp3	3888
common_voice_fa_41226232.mp3	2124
common_voice_fa_41225990.mp3	2880
common_voice_fa_41066668.mp3	2628
common_voice_fa_41024281.mp3	1944
common_voice_fa_40895313.mp3	4896
common_voice_fa_41042759.mp3	3060
common_voice_fa_41226007.mp3	2376
common_voice_fa_41037987.mp3	4356
common_voice_fa_41197345.mp3	3600
common_voice_fa_40885669.mp3	5976
common_voice_fa_40882131.mp3	1476
common_voice_fa_41092516.mp3	3240
common_voice_fa_41066659.mp3	5580
common_voice_fa_41024270.mp3	3024
common_voice_fa_41226171.mp3	2016
common_voice_fa_41226246.mp3	2448
common_voice_fa_41196994.mp3	4140
common_voice_fa_41226158.mp3	2376
common_voice_fa_41091288.mp3	3996
common_voice_fa_41052587.mp3	3420
common_voice_fa_40921210.mp3	3492
common_voice_fa_41024236.mp3	3276
common_voice_fa_40961155.mp3	3240
common_voice_fa_41209403.mp3	3672
common_voice_fa_40886888.mp3	2376
common_voice_fa_40886899.mp3	2844
common_voice_fa_41226173.mp3	2484
common_voice_fa_41041920.mp3	3348
common_voice_fa_41226161.mp3	4428
common_voice_fa_40882133.mp3	1692
common_voice_fa_41092517.mp3	2988
common_voice_fa_41052580.mp3	2700
common_voice_fa_41226221.mp3	2772
common_voice_fa_41226184.mp3	2952
common_voice_fa_41209368.mp3	1620
common_voice_fa_41039994.mp3	2340
common_voice_fa_40882057.mp3	1836
common_voice_fa_41226070.mp3	2844
common_voice_fa_41096795.mp3	5580
common_voice_fa_41226225.mp3	2376
common_voice_fa_40882083.mp3	2232
common_voice_fa_40870785.mp3	2700
common_voice_fa_41039993.mp3	2880
common_voice_fa_41066629.mp3	2268
common_voice_fa_40921206.mp3	2448
common_voice_fa_41037989.mp3	3132
common_voice_fa_41215009.mp3	2736
common_voice_fa_41226255.mp3	1980
common_voice_fa_40882092.mp3	1728
common_voice_fa_41226181.mp3	4752
common_voice_fa_41066656.mp3	2880
common_voice_fa_40967108.mp3	7236
common_voice_fa_41024247.mp3	5940
common_voice_fa_41066642.mp3	2880
common_voice_fa_41041805.mp3	3348
common_voice_fa_40885727.mp3	5760
common_voice_fa_41096810.mp3	2448
common_voice_fa_41136254.mp3	7020
common_voice_fa_40885683.mp3	5616
common_voice_fa_40870786.mp3	3672
common_voice_fa_40885682.mp3	6048
common_voice_fa_41225976.mp3	4284
common_voice_fa_41226026.mp3	3600
common_voice_fa_41066640.mp3	5076
common_voice_fa_41041975.mp3	3996
common_voice_fa_41041948.mp3	3276
common_voice_fa_41196985.mp3	5148
common_voice_fa_41041807.mp3	7488
common_voice_fa_41091269.mp3	4860
common_voice_fa_40974551.mp3	3132
common_voice_fa_41092519.mp3	4572
common_voice_fa_41066628.mp3	2196
common_voice_fa_41091284.mp3	4896
common_voice_fa_40961157.mp3	4536
common_voice_fa_41041806.mp3	4788
common_voice_fa_41091275.mp3	5076
common_voice_fa_41226047.mp3	4248
common_voice_fa_40886872.mp3	3636
common_voice_fa_41024250.mp3	4356
common_voice_fa_41091265.mp3	3996
common_voice_fa_41066598.mp3	5616
common_voice_fa_40878714.mp3	3420
common_voice_fa_40882089.mp3	2376
common_voice_fa_41226189.mp3	6156
common_voice_fa_40886900.mp3	3600
common_voice_fa_40885725.mp3	4716
common_voice_fa_40882132.mp3	1800
common_voice_fa_41138922.mp3	3636
common_voice_fa_41096798.mp3	3780
common_voice_fa_40974539.mp3	3096
common_voice_fa_40962848.mp3	2268
common_voice_fa_41066611.mp3	3924
common_voice_fa_40974547.mp3	4608
common_voice_fa_41215016.mp3	2304
common_voice_fa_40886877.mp3	3132
common_voice_fa_41226167.mp3	1872
common_voice_fa_41066652.mp3	3132
common_voice_fa_41226198.mp3	1800
common_voice_fa_41091277.mp3	3060
common_voice_fa_41024259.mp3	4068
common_voice_fa_41066649.mp3	2376
common_voice_fa_41024238.mp3	5904
common_voice_fa_40982775.mp3	2916
common_voice_fa_41226209.mp3	2700
common_voice_fa_41096797.mp3	2160
common_voice_fa_40997434.mp3	3780
common_voice_fa_41041921.mp3	5220
common_voice_fa_41041945.mp3	3276
common_voice_fa_41226005.mp3	2484
common_voice_fa_41008008.mp3	2088
common_voice_fa_40885730.mp3	3096
common_voice_fa_41226010.mp3	2772
common_voice_fa_41226068.mp3	4788
common_voice_fa_41066655.mp3	3672
common_voice_fa_40974550.mp3	3204
common_voice_fa_41024234.mp3	2016
common_voice_fa_41041813.mp3	4500
common_voice_fa_41209366.mp3	2196
common_voice_fa_41196995.mp3	2628
common_voice_fa_40997447.mp3	2556
common_voice_fa_40997459.mp3	2808
common_voice_fa_40885667.mp3	4716
common_voice_fa_40961154.mp3	3348
