client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40870785.mp3	0159c9141010d4c999a2af469e5f02277e04f6cade7a6281d62043befe2614a5	غلاف غضروف		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40870786.mp3	cea97275df082c2cf997f379635b6e92a7fecd84342296e62bb63e7ae34576cf	بخش قدامی مغز، لب پیشانی		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40878714.mp3	cf8ad74bbf6df910e9587d35def8030be7ccb7b85867821ec25097f69f3613a2	افسر به سربازان دستور تیراندازی داد.		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40882054.mp3	c96f54fddf7e44fae05899148454d1925aa67c12a58137ce0347844a988792da	پیشرفتهای اخیر در علم		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40882055.mp3	c8b61899f01dee21a3cd35ee08b94da592c145929b66aa4679cf7f725e1cb3da	به خاطر پرداخت پیش از موعد از مبلغ برات کاستن		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40882056.mp3	d08883a6a582ef900da975a4dfb13d53832d454c1991b08ba5587cd9d0d9a2de	پدرم ذهن خلاقی داشت.		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40882057.mp3	015f187299a5f853208f057c6de20a91b7e06e44963e7c6871943db4ed2abfb2	در هم گیر کردن		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40882058.mp3	d0ab1dbfccc7f1fec85956d3ec9b7bf0f42d72dc5068ca810c08942f17916347	از روی جعبه گام برداشتم.		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40882059.mp3	d028209ce4918c458431e39385db18ef231c300fb69f6a7bbe73402ad026b6a8	آه، بچه گربهها را ببین!		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
6bc03c5be8b519a3995218101ff47158552bb98f2b6da080f2e4d8fc882837070e46206a2a81ed657c4f6dded7e04b1ee8a46d214a544a28b243ea114fa29506	common_voice_fa_40882060.mp3	ceb4f719c52439469b01bfedffe4a546bfe9e7e57370c0c778ba78d53151e97a	سمن بویان غبار غم چو بنشینند بنشانند		0	0	twenties	male_masculine	ایرانی,بندرعباسی		fa	
